icon,name,defense
"Pearlwood_armor_female.png, Pearlwood_armor.png",https://terraria.fandom.com/wiki/Pearlwood_armor,8
"Spider_armor_female.png, Spider_armor.png",https://terraria.fandom.com/wiki/Spider_armor,20
"Cobalt_armor_female.png, Cobalt_armor.png",https://terraria.fandom.com/wiki/Cobalt_armor,"Magic: 18
Range: 20
Melee: 28"
"Palladium_armor_female.png, Palladium_armor.png",https://terraria.fandom.com/wiki/Palladium_armor,"Magic: 21
Range: 23
Melee: 32"
"Mythril_armor_female.png, Mythril_armor.png",https://terraria.fandom.com/wiki/Mythril_armor,"Magic: 21
Range: 23
Melee: 32"
"Orichalcum_armor_female.png, Orichalcum_armor.png",https://terraria.fandom.com/wiki/Orichalcum_armor,"Magic: 27
Range: 30
Melee: 42"
"Adamantite_armor_female.png, Adamantite_armor.png",https://terraria.fandom.com/wiki/Adamantite_armor,"Magic: 32
Range: 36
Melee: 50"
"Titanium_armor_female.png, Titanium_armor.png",https://terraria.fandom.com/wiki/Titanium_armor,"Magic: 30
Range: 34
Melee: 49"
"Crystal_Assassin_armor_female.png, Crystal_Assassin_armor.png",https://terraria.fandom.com/wiki/Crystal_Assassin_armor,36
"Frost_armor_female.png, Frost_armor.png",https://terraria.fandom.com/wiki/Frost_armor,43
"Forbidden_armor_female.png, Forbidden_armor.png",https://terraria.fandom.com/wiki/Forbidden_armor,26
"Squire_armor_female.png, Squire_armor.png",https://terraria.fandom.com/wiki/Squire_armor,56
"Monk_armor_female.png, Monk_armor.png",https://terraria.fandom.com/wiki/Monk_armor,46
"Huntress_armor_female.png, Huntress_armor.png",https://terraria.fandom.com/wiki/Huntress_armor,36
"Apprentice_armor_female.png, Apprentice_armor.png",https://terraria.fandom.com/wiki/Apprentice_armor,32
"Hallowed_armor_female.png, Hallowed_armor.png",https://terraria.fandom.com/wiki/Hallowed_armor,"Summon: 27
Magic: 31
Range: 35
Melee:50"
Ancient_Hallowed_armor.png,https://terraria.fandom.com/wiki/Ancient_Hallowed_armor,"Summon: 27
Magic: 31
Range: 35
Melee:50"
"Chlorophyte_armor_female.png, Chlorophyte_armor.png",https://terraria.fandom.com/wiki/Chlorophyte_armor,"Magic: 38
Range: 44
Melee: 56"
"Turtle_armor_female.png, Turtle_armor.png",https://terraria.fandom.com/wiki/Turtle_armor,65
"Tiki_armor_female.png, Tiki_armor.png",https://terraria.fandom.com/wiki/Tiki_armor,35
"Beetle_armor_female.png, Beetle_armor.png",https://terraria.fandom.com/wiki/Beetle_armor,"Scale: 61
Shell: 73"
"Shroomite_armor_female.png, Shroomite_armor.png",https://terraria.fandom.com/wiki/Shroomite_armor,51
"Spectre_armor_female.png, Spectre_armor.png",https://terraria.fandom.com/wiki/Spectre_armor,"Hood: 30 
Mask: 42"
"Spooky_armor.png, Spooky_armor_female.png",https://terraria.fandom.com/wiki/Spooky_armor,30
"Dragon_armor_female.png, Dragon_armor.png",https://terraria.fandom.com/wiki/Dragon_armor,65
"Titan_armor_female.png, Titan_armor.png",https://terraria.fandom.com/wiki/Titan_armor,45
"Spectral_armor_female.png, Spectral_armor.png",https://terraria.fandom.com/wiki/Spectral_armor,40
"Valhalla_Knight_armor_female.png, Valhalla_Knight_armor.png",https://terraria.fandom.com/wiki/Valhalla_Knight_armor,68
"Shinobi_Infiltrator_armor_female.png, Shinobi_Infiltrator_armor.png",https://terraria.fandom.com/wiki/Shinobi_Infiltrator_armor,54
"Red_Riding_armor_female.png, Red_Riding_armor.png",https://terraria.fandom.com/wiki/Red_Riding_armor,48
Dark_Artist_armor.png,https://terraria.fandom.com/wiki/Dark_Artist_armor,42
"Solar_Flare_armor_female.png, Solar_Flare_armor.png",https://terraria.fandom.com/wiki/Solar_Flare_armor,78
"Vortex_armor_female.png, Vortex_armor.png",https://terraria.fandom.com/wiki/Vortex_armor,62
"Nebula_armor_female.png, Nebula_armor.png",https://terraria.fandom.com/wiki/Nebula_armor,46
"Stardust_armor_female.png, Stardust_armor.png",https://terraria.fandom.com/wiki/Stardust_armor,38
